country,code,year,population,gdp,gdp_per_capita,export_value,trade_share_gdp,ghg_emission,coal_emission,electricity_rate,internet_user,,,,,,,,,,
Brunei,BRN,2000,326390,6001280944,100323.44,,87.055336,38.587013,53287,100,9.00,,,,,,,,,,
Brunei,BRN,2001,333313,5601020247,99680.766,,91.099785,38.964687,51896,100,12.92,,,,,,,,,,
Brunei,BRN,2002,340059,5843367180,101571.586,,93.21618,35.34161,46699,100,15.33,,,,,,,,,,
Brunei,BRN,2003,346597,6557395816,103226.914,,89.08562,38.76989,55979,100,19.60,,,,,,,,,,
Brunei,BRN,2004,352872,7872201251,101497.76,,84.882164,36.23895,56406,100,29.72,,,,,,,,,,
Brunei,BRN,2005,358878,9531417164,99795.69,6247896,81.62012,34.909077,54285,100,36.47,,,,,,,,,,
Brunei,BRN,2006,364613,11470462365,102248.51,7624295,81.57095,41.740593,71437,100,42.19,,,,,,,,,,
Brunei,BRN,2007,370837,12247680703,96752.62,7693279,81.01141,43.594265,80767,100,44.68,,,,,,,,,,
Brunei,BRN,2008,377755,14393437610,91275.5,10569069,89.74542,50.07384,91656,100,46.00,,,,,,,,,,
Brunei,BRN,2009,384917,10732592999,87875.83,7171066,90.28709,42.80541,77449,100,49.00,,,,,,,,,,
Brunei,BRN,2010,392284,13707275498,88586.516,8897560,95.371544,40.922516,80174,100,53.00,,,,,,,,,,
Brunei,BRN,2011,399337,18525128230,90279.664,12451283,99.53793,45.242786,95554,100,56.00,,,,,,,,,,
Brunei,BRN,2012,405519,19048443089,89718.46,13000828,105.6409,43.1913,94998,100,60.27,,,,,,,,,,
Brunei,BRN,2013,411153,18094326393,86606.65,11447187,110.9396,36.235374,76261,100,64.50,,,,,,,,,,
Brunei,BRN,2014,416708,17097801092,83310.62,10508833,102.421,40.475533,88310,100,68.77,,,,,,,,,,
Brunei,BRN,2015,422176,12930292949,81910.19,6341863,89.89619,33.247585,69333,100,71.20,,,,,,,,,,
Brunei,BRN,2016,427520,11400467372,78880.625,4703523,87.3198,33.788296,76329,100,90.00,,,,,,,,,,
Brunei,BRN,2017,432743,12128182464,78966.87,5586316,85.17686,37.468685,93094,100,94.87,,,,,,,,,,
